Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
5.469,-0.02,-0.005,-0.02,-0.02,-0.02,-0.02,-0.024
5.488,-0.01,-0.015,-0.02,-0.024,-0.024,-0.024,-0.034
5.508,-0.01,-0.015,-0.024,-0.02,-0.02,-0.029,-0.015
5.527,-0.015,-0.02,-0.01,-0.02,-0.029,-0.024,-0.024
5.547,-0.02,-0.005,-0.024,-0.02,-0.024,-0.024,-0.015
5.566,-0.01,-0.02,-0.015,-0.02,-0.02,-0.015,-0.029
5.586,-0.01,-0.01,-0.02,-0.029,-0.024,-0.029,-0.024
5.605,-0.01,-0.02,-0.015,-0.02,-0.024,-0.02,-0.029
5.625,-0.005,-0.015,-0.02,-0.024,-0.024,-0.034,-0.015
5.645,-0.01,-0.02,-0.02,-0.024,-0.02,-0.01,-0.029
5.664,-0.02,-0.01,-0.02,-0.02,-0.015,-0.024,-0.02
5.684,-0.01,-0.02,-0.02,-0.02,-0.02,-0.015,-0.024
5.703,-0.015,-0.01,-0.005,-0.024,-0.024,-0.029,-0.02
5.723,-0.005,-0.02,-0.02,-0.02,-0.034,-0.02,-0.024
5.742,-0.015,-0.02,-0.02,-0.02,-0.02,-0.034,-0.024
5.762,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.024
5.781,-0.02,-0.015,-0.015,-0.029,-0.015,-0.024,-0.02
5.801,-0.005,-0.02,-0.015,-0.015,-0.024,-0.02,-0.015
5.82,-0.01,-0.015,-0.02,-0.024,-0.024,-0.024,-0.029
5.84,0,-0.005,-0.02,-0.015,-0.029,-0.024,-0.02
5.859,-0.02,-0.02,-0.02,-0.02,-0.015,-0.024,-0.024
5.879,-0.01,-0.015,-0.02,-0.015,-0.029,-0.034,-0.024
5.898,-0.02,-0.02,-0.01,-0.029,-0.015,-0.024,-0.024
5.918,0,-0.01,-0.02,-0.015,-0.029,-0.024,-0.024
5.937,-0.015,-0.015,-0.015,-0.024,-0.02,-0.024,-0.029
5.957,-0.005,-0.015,-0.029,-0.015,-0.029,-0.029,-0.029
5.977,-0.015,-0.024,-0.015,-0.024,-0.01,-0.02,-0.024
5.996,-0.005,-0.015,-0.02,-0.02,-0.024,-0.02,-0.02
6.016,-0.015,-0.015,-0.015,-0.024,-0.024,-0.02,-0.024
6.035,-0.005,-0.01,-0.024,-0.01,-0.024,-0.024,-0.024
6.055,-0.015,-0.015,-0.015,-0.024,-0.024,-0.02,-0.034
